M,7,70
SM,70,103
M,103,117
SM,117,126.4
M,126.6,133
SM,133,144.40
M,144.6,151
SM,151,156
M,156,162
SM,162.2,166
M,166.2,172.2
SM,172.2,178
M,178,181
SM,181,190.5
M,190.5,193
SM,192,224
M,225,234
SM,234,253
M,253,257.4
SM,257.6,265.2
M,265.4,268.2
SM,268.4,280
SN,280.2,433
M,434,439
SM,439,552
M,552,553
M,555,561
SM,561,596.2
M,597.5,606
SM,606.2,620
M,620.2,630
SM,630,639
M,639,645
SM,645.2,652.4
M,652.4,669.8
SM,670,681
M,681,703
SN,703,716
M,716,728.4
M,743,752
N,752,758
SN,758,817
M,817,843
SN,843,898
M,898,901
SM,901,932.5
M,932.5,941
SM,941,954
M,954,961
SM,961,970
M,970,979
SM,979,989
M,989,1001
-1






